path;label;x_topleft;y_topleft;width;height
Alfa_Laval_Sensor_0.jpg;Alfa;154;326;105;108
Alfa_Laval_Sensor_1.jpg;Alfa;341;267;70;56
Alfa_Laval_Sensor_2.jpg;Alfa;298;237;74;59
Alfa_Laval_Sensor_3.jpg;Alfa;140;238;125;67
Alfa_Laval_Sensor_4.jpg;Alfa;320;268;74;56
Alfa_Laval_Sensor_5.jpg;Alfa;420;92;85;68
Alfa_Laval_Sensor_6.jpg;Alfa;325;82;83;67
Alfa_Laval_Sensor_7.jpg;Alfa;184;283;80;64
Alfa_Laval_Sensor_8.jpg;Alfa;429;222;60;44
Alfa_Laval_Sensor_9.jpg;Alfa;350;287;60;44
Alfa_Laval_Sensor_10.jpg;Alfa;334;51;110;120
Alfa_Laval_Sensor_11.jpg;Alfa;351;140;192;167
Alfa_Laval_Sensor_12.jpg;Alfa;359;204;168;161
Alfa_Laval_Sensor_13.jpg;Alfa;170;84;165;158
Alfa_Laval_Sensor_14.jpg;Alfa;164;164;165;158
Alfa_Laval_Sensor_15.jpg;Alfa;136;221;210;163
Alfa_Laval_Sensor_16.jpg;Alfa;186;181;202;157
Alfa_Laval_Sensor_17.jpg;Alfa;152;241;210;163
Alfa_Laval_Sensor_18.jpg;Alfa;224;212;186;145
Alfa_Laval_Sensor_19.jpg;Alfa;206;395;128;84
Alfa_Laval_Sensor_20.jpg;Alfa;128;193;131;120
Alfa_Laval_Sensor_21.jpg;Alfa;213;162;107;91
Alfa_Laval_Sensor_22.jpg;Alfa;335;208;109;93
Alfa_Laval_Sensor_23.jpg;Alfa;253;129;105;89
Alfa_Laval_Sensor_24.jpg;Alfa;314;292;92;79
Alfa_Laval_Sensor_25.jpg;Alfa;147;179;92;79
Alfa_Laval_Sensor_26.jpg;Alfa;408;195;72;68
Alfa_Laval_Sensor_27.jpg;Alfa;366;218;69;65
Alfa_Laval_Sensor_28.jpg;Alfa;377;72;90;95
Alfa_Laval_Sensor_29.jpg;Alfa;341;205;85;75
Alfa_Laval_Sensor_30.jpg;Alfa;476;187;60;54
Alfa_Laval_Sensor_31.jpg;Alfa;266;5;57;75
Alfa_Laval_Sensor_32.jpg;Alfa;11;395;127;85
Alfa_Laval_Sensor_33.jpg;Alfa;383;266;46;55
Alfa_Laval_Sensor_34.jpg;Alfa;254;332;77;57
Alfa_Laval_Sensor_35.jpg;Alfa;248;135;200;191
Alfa_Laval_Sensor_36.jpg;Alfa;419;78;154;152
Alfa_Laval_Sensor_37.jpg;Alfa;366;80;110;120
Alfa_Laval_Sensor_38.jpg;Alfa;174;187;119;110
Alfa_Laval_Sensor_39.jpg;Alfa;134;218;149;104
Alfa_Laval_Sensor_40.jpg;Alfa;238;205;108;87
Alfa_Laval_Sensor_41.jpg;Alfa;226;272;270;208
Alfa_Laval_Sensor_42.jpg;Alfa;418;103;222;165
Alfa_Laval_Sensor_43.jpg;Alfa;229;158;129;127
Alfa_Laval_Sensor_44.jpg;Alfa;193;158;130;104
Alfa_Laval_Sensor_45.jpg;Alfa;444;155;124;115
Alfa_Laval_Sensor_46.jpg;Alfa;356;115;117;115
Alfa_Laval_Sensor_47.jpg;Alfa;266;120;40;25
Alfa_Laval_Sensor_48.jpg;Alfa;327;85;274;262
Alfa_Laval_Sensor_49.jpg;Alfa;311;58;225;251
Alfa_Laval_Sensor_50.jpg;Alfa;184;113;240;194
Alfa_Laval_Sensor_51.jpg;Alfa;301;87;275;271
Alfa_Laval_Sensor_52.jpg;Alfa;168;122;287;275
Alfa_Laval_Sensor_53.jpg;Alfa;269;35;274;260
Alfa_Laval_Sensor_54.jpg;Alfa;190;170;130;90
